epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,290.04,0.29713,0.72666,0.80835,0.86539,0.8735,0.92951,0.91583,0.23101,0.45695,0.77232,0.000224579,0.000224579,0.000224579
69,293.925,0.296,0.7153,0.80521,0.84862,0.88291,0.93348,0.9186,0.22408,0.44379,0.77165,0.000217976,0.000217976,0.000217976
70,297.82,0.28344,0.69235,0.80601,0.76758,0.89252,0.91863,0.90746,0.22992,0.54858,0.77306,0.000211372,0.000211372,0.000211372
71,301.729,0.28866,0.71587,0.80866,0.85624,0.85096,0.92407,0.91193,0.23345,0.47042,0.77484,0.000204769,0.000204769,0.000204769
72,305.694,0.29926,0.66847,0.80988,0.88837,0.84407,0.92617,0.91119,0.24103,0.52315,0.77502,0.000198166,0.000198166,0.000198166
73,309.547,0.2881,0.66789,0.81053,0.86517,0.86825,0.93044,0.91499,0.22399,0.47452,0.77266,0.000191562,0.000191562,0.000191562
74,313.48,0.29466,0.67248,0.80992,0.87939,0.83882,0.92735,0.91444,0.23,0.45714,0.77213,0.000184959,0.000184959,0.000184959
75,317.43,0.2852,0.67324,0.8027,0.90832,0.83587,0.93152,0.91724,0.21882,0.42717,0.77116,0.000178356,0.000178356,0.000178356
76,321.386,0.28137,0.65626,0.80638,0.85226,0.91265,0.94459,0.9309,0.22138,0.41199,0.77212,0.000171752,0.000171752,0.000171752
77,325.23,0.27985,0.65789,0.80876,0.92737,0.85988,0.95455,0.94029,0.22229,0.39058,0.77223,0.000165149,0.000165149,0.000165149
78,329.081,0.28804,0.67867,0.80344,0.93488,0.83964,0.94707,0.93597,0.20727,0.39843,0.77114,0.000158546,0.000158546,0.000158546
79,332.954,0.27389,0.62694,0.79572,0.88812,0.83604,0.92512,0.91312,0.21905,0.4576,0.77234,0.000151943,0.000151943,0.000151943
80,336.857,0.28294,0.64,0.81029,0.89616,0.85796,0.93262,0.92141,0.2176,0.42212,0.76996,0.000145339,0.000145339,0.000145339
81,340.828,0.27611,0.60424,0.80338,0.90562,0.86388,0.93385,0.92085,0.21624,0.41966,0.77143,0.000138736,0.000138736,0.000138736
82,344.705,0.2733,0.60923,0.7991,0.87317,0.90966,0.94361,0.93253,0.20571,0.41792,0.77024,0.000132133,0.000132133,0.000132133
83,348.545,0.27353,0.61581,0.80394,0.89264,0.88159,0.9411,0.92677,0.21894,0.39696,0.77129,0.000125529,0.000125529,0.000125529
84,352.432,0.26782,0.62089,0.80421,0.93222,0.84351,0.9465,0.93414,0.22532,0.38463,0.77051,0.000118926,0.000118926,0.000118926
85,356.299,0.26243,0.60401,0.79652,0.91097,0.87127,0.94816,0.93515,0.22167,0.39184,0.77107,0.000112323,0.000112323,0.000112323
86,360.166,0.26874,0.59622,0.80428,0.91663,0.86988,0.95368,0.94065,0.21154,0.36227,0.77064,0.00010572,0.00010572,0.00010572
87,364.053,0.27365,0.59717,0.80094,0.89962,0.90408,0.95277,0.93992,0.219,0.37204,0.77044,9.91162e-05,9.91162e-05,9.91162e-05
88,367.95,0.25767,0.56904,0.80091,0.93738,0.86319,0.94884,0.93806,0.22276,0.37163,0.76993,9.25129e-05,9.25129e-05,9.25129e-05
89,372.383,0.26468,0.58616,0.79874,0.91911,0.87369,0.94917,0.93891,0.21319,0.35662,0.76928,8.59096e-05,8.59096e-05,8.59096e-05
90,376.667,0.26447,0.58496,0.80592,0.91878,0.88121,0.95517,0.94335,0.21905,0.35565,0.76904,7.93063e-05,7.93063e-05,7.93063e-05
91,399.44,0.22469,0.51009,0.77958,0.92301,0.87561,0.9471,0.93638,0.20514,0.35873,0.7683,7.2703e-05,7.2703e-05,7.2703e-05
92,403.478,0.22409,0.46531,0.77766,0.90886,0.85528,0.94117,0.92903,0.22611,0.39914,0.77043,6.60997e-05,6.60997e-05,6.60997e-05
93,407.549,0.22973,0.45722,0.78405,0.89084,0.86829,0.94114,0.92842,0.22234,0.39847,0.77108,5.94964e-05,5.94964e-05,5.94964e-05
94,411.457,0.21597,0.44623,0.77076,0.91981,0.85722,0.935,0.92268,0.22147,0.3879,0.77075,5.28931e-05,5.28931e-05,5.28931e-05
95,415.368,0.21491,0.44827,0.77567,0.92116,0.83984,0.93484,0.92394,0.21068,0.41205,0.76965,4.62898e-05,4.62898e-05,4.62898e-05
96,419.82,0.22732,0.45053,0.78395,0.94061,0.85562,0.94166,0.92948,0.22047,0.3798,0.77034,3.96865e-05,3.96865e-05,3.96865e-05
97,424.285,0.21124,0.42401,0.77424,0.89033,0.88555,0.94497,0.93343,0.21175,0.38363,0.76921,3.30832e-05,3.30832e-05,3.30832e-05
98,428.567,0.21088,0.42523,0.77071,0.92653,0.87226,0.94455,0.93252,0.2145,0.36204,0.76934,2.64799e-05,2.64799e-05,2.64799e-05
99,432.823,0.20972,0.40684,0.77623,0.89266,0.88336,0.94254,0.931,0.21031,0.38552,0.7693,1.98766e-05,1.98766e-05,1.98766e-05
100,437.098,0.21701,0.42354,0.7837,0.90605,0.87985,0.94316,0.9317,0.2149,0.37057,0.7691,1.32733e-05,1.32733e-05,1.32733e-05
